الكود,اسم الصنف,الوحدة في قاعدة البيانات,الوحدة في الفواتير,المورد,آخر فاتورة,اسم الملف
10106040,فريون 1ك R134,عدد,كيلو,الفاروق,2437,أذونات الإضافة لشهر 3.xlsx
10801007,خشب شوايه فلندي 3/4 ×4,متر³,متر 2,اخشاب النعام,783,أذونات الإضافة لشهر 3.xlsx
